japanese,kana,chinese,group_key
高める,たかめる,"to raise, to lift, to boost",N3
宝,たから,treasure,N3
宅,たく,"house, home",N3
炊く,たく,"to boil, to cook",N3
焚く,たく,"to burn, to kindle, to build a fire",N3
抱く,だく,"to embrace, to hug",N3
だけど,だけど,however,N3
たしか,たしか,"certain, sure, if I remember correctly",N3
確かめる,たしかめる,"to ascertain, to make sure",N3
多少,たしょう,a little (same as 少し (すこし)),N3
助かる,たすかる,to be saved; (something) helps (v.i.),N3
助ける,たすける,"to help (v.t.), to save, to rescue",N3
ただ,ただ,free of charge; just (~); only (~),N3
只,ただ,"free of charge, mere, only",N3
唯,ただ,"mere, sole, plain",N3
戦い,たたかい,"battle, fight",N3
戦う,たたかう,"to fight, to compete, to battle",N3
叩く,たたく,"to strike, to beat",N3
直ちに,ただちに,"at once, immediately",N3
畳む,たたむ,to fold (clothes),N3
立ち上がる,たちあがる,to stand up,N3
立場,たちば,"standpoint, position, situation",N3
建つ,たつ,"to stand; to be built (v.i.), to erect, to be erected",N3
経つ,たつ,(time) passes,N3
達する,たっする,"to reach, to get to",N3
唯,たった,"only, just",N3
だって,だって,"but, because, even",N3
たっぷり,たっぷり,"full, in plenty, ample",N3
たとえ,たとえ,"even if, no matter, though",N3
谷,たに,valley,N3
他人,たにん,"unrelated person, stranger",N3
種,たね,seed; material; cause,N3
束,たば,"bunch, bundle",N3
足袋,たび,Japanese socks (with split toe),N3
度,たび,counter for occurrences,N3
旅,たび,"travel, trip, journey",N3
たびたび,たびたび,"often, repeatedly, frequently",N3
玉,たま,"ball, sphere, coin",N3
球,たま,"globe, sphere, ball",N3
弾,たま,"bullet, shot",N3
偶,たま,"even number, couple, friend",N3
騙す,だます,"to trick, to cheat, to deceive",N3
偶々,たまたま,"unexpectedly, accidentally, by chance",N3
たまらない,たまらない,"intolerable, unbearable, unendurable",N3
溜まる,たまる,"to collect, to gather, to accumulate",N3
黙る,だまる,to be silent,N3
試し,ためし,"trial, test",N3
試す,ためす,"to attempt, to test",N3
溜める,ためる,"to accumulate, to collect",N3
便り,たより,"news, correspondence, letter",N3
頼る,たよる,"to rely on, to have recourse to, to depend on",N3
段,だん,"step, stair, grade",N3
単位,たんい,"credit (for a course in school); unit, denomination",N3
単語,たんご,word; vocabulary,N3
男子,だんし,young man,N3
単純,たんじゅん,simplicity,N3
誕生,たんじょう,birth,N3
ダンス,ダンス,dance,N3
団体,だんたい,"organization, association",N3
担当,たんとう,(in) charge,N3
単なる,たんなる,"mere, simple, sheer",N3
単に,たんに,"simply, merely",N3
地,ち,earth,N3
地位,ちい,"(social) position, status",N3
地域,ちいき,"area, region",N3
チーズ,チーズ,cheese,N3
チーム,チーム,team,N3
知恵,ちえ,"wisdom, wit, intelligence",N3
地下,ちか,"basement, underground",N3
違い,ちがい,"difference, discrepancy",N3
違いない,ちがいない,"(phrase) sure, no mistaking it, for certain",N3
近頃,ちかごろ,"lately, recently, nowadays",N3
地球,ちきゅう,the earth,N3
地区,ちく,"district, section",N3
遅刻,ちこく,"lateness, late coming",N3
知事,ちじ,prefectural governor,N3
知識,ちしき,"knowledge, information",N3
父親,ちちおや,father,N3
知能,ちのう,"intelligence, brains",N3
地平線,ちへいせん,horizon,N3
地方,ちほう,"area, locality, region",N3
茶,ちゃ,tea,N3
チャンス,チャンス,"chance, opportunity",N3
ちゃんと,ちゃんと,"perfectly, properly, exactly",N3
中,ちゅう,"inside, middle, among",N3
注,ちゅう,"annotation, explanatory note",N3
中央,ちゅうおう,"central, center, middle",N3
中学,ちゅうがく,"middle school, junior high school",N3
中古,ちゅうこ,"used, second-hand",N3
中止,ちゅうし,"suspension, stoppage, discontinuance",N3
駐車,ちゅうしゃ,"parking (e.g., car)",N3
昼食,ちゅうしょく,lunch (same as 昼ご飯 (ひるごはん)),N3
中心,ちゅうしん,"center, core",N3
注目,ちゅうもく,"notice, attention, observation",N3
注文,ちゅうもん,"order, request",N3
長期,ちょうき,long time period,N3
調査,ちょうさ,survey; investigation,N3
調子,ちょうし,"condition, state, tune, tone",N3
頂上,ちょうじょう,"top, summit, peak",N3
ちょうだい,ちょうだい,-- colloquial form of ください; typically used by children or women --,N3
貯金,ちょきん,(bank) savings,N3
直接,ちょくせつ,"direct, immediate, firsthand",N3
著者,ちょしゃ,"author, writer",N3
散らす,ちらす,"to scatter, to disperse, to distribute",N3
散る,ちる,"to fall, to scatter (e.g., blossoms)",N3
遂に,ついに,"finally, at last",N3
通過,つうか,"passage through, passing",N3
通貨,つうか,currency,N3
通学,つうがく,commuting to school,N3
通勤,つうきん,commuting to work,N3
通行,つうこう,"passage, passing",N3
通じる,つうじる,"to run to, to lead to, to communicate",N3
通信,つうしん,"correspondence, communications",N3
通訳,つうやく,interpretation; interpreter,N3
捕まる,つかまる,to be arrested; to be caught,N3
掴む,つかむ,"to seize, to catch, to grasp",N3
疲れ,つかれ,"tiredness, fatigue",N3
付き合い,つきあい,socialization; friendship; association,N3
付合う,つきあう,"to associate with, to keep company with, to get on with",N3
次々,つぎつぎ,"in succession, one by one",N3
付く,つく,"to adjoin, to be attached, to adhere",N3
就く,つく,"to settle in (place), to take (seat position), to study (under teacher)",N3
突く,つく,"to thrust, to strike; to poke",N3
次ぐ,つぐ,"to rank next to, to come after",N3
注ぐ,つぐ,to pour (into),N3
付ける,つける,"to attach, to join, to add",N3
着ける,つける,"to put on, to wear; to draw up",N3
伝わる,つたわる,"to be handed down, to be transmitted",N3
土,つち,"earth, soil",N3
続き,つづき,"sequel, continuation",N3
包み,つつみ,"bundle, package",N3
勤め,つとめ,"work, employment",N3
務め,つとめ,duty,N3
繋がる,つながる,"to be connected to, to be related to",N3
繋ぐ,つなぐ,"to tie, to fasten, to connect",N3
繋げる,つなげる,to connect,N3
常に,つねに,always (same as いつも) (written expression),N3
翼,つばさ,wings,N3
つまり,つまり,namely; in other words; in short,N3
罪,つみ,"crime, fault, indiscretion",N3
積む,つむ,"to pile up, to stack",N3
詰める,つめる,"to pack, to shorten, to work out (details)",N3
積もる,つもる,to pile up,N3
梅雨,つゆ,rainy season,N3
辛い,つらい,"painful, heart-breaking",N3
釣,つり,fishing,N3
連れ,つれ,"companion, company",N3
出,で,"outflow, coming (going) out, graduate (of)",N3
出会い,であい,"meeting, rendezvous, encounter",N3
出合い,であい,an encounter,N3
出会う,であう,"to meet by chance, to come across, to happen to encounter",N3
提案,ていあん,"proposal, proposition, suggestion",N3
定期,ていき,fixed term,N3
抵抗,ていこう,"resistance, opposition",N3
提出,ていしゅつ,"presentation, submission, filing",N3
停電,ていでん,failure of electricity,N3
程度,ていど,"degree, amount, level",N3
停留所,ていりゅうじょ,bus or tram stop,N3
デート,デート,date (in the sense of 'social engagement' only),N3
敵,てき,"enemy, rival",N3
出来事,できごと,"incident happening, event",N3
適する,てきする,"to fit, to suit",N3
適切,てきせつ,"appropriate, adequate, relevance",N3
適度,てきど,moderate,N3
適用,てきよう,applying,N3
できれば,できれば,if possible…,N3
手品,てじな,"conjuring trick, magic",N3
ですから,ですから,therefore,N3
鉄,てつ,iron,N3
哲学,てつがく,philosophy,N3
手伝い,てつだい,"help, helper, assistant",N3
徹底,てってい,"thoroughness, completeness",N3
鉄道,てつどう,railway; railroad,N3
徹夜,てつや,"staying up all night, sleepless night",N3
手間,てま,"time, labor",N3
デモ,デモ,"demo, demonstration",N3
典型,てんけい,"type, pattern, archetypal",N3
天候,てんこう,weather,N3
電子,でんし,electron; electronic,N3
テント,テント,tent,N3
伝統,でんとう,"tradition, convention",N3
天然,てんねん,"nature, spontaneity",N3
問い,とい,"question, query",N3
党,とう,party (political),N3
塔,とう,"tower, pagoda",N3
答案,とうあん,"examination paper, examination script",N3
同一,どういつ,"identity, sameness, similarity",N3
銅貨,どうか,copper coin,N3
当時,とうじ,"at that time, in those days (same as そのころ)",N3
動詞,どうし,verb,N3
同時,どうじ,"simultaneous(ly), same time",N3
どうしても,どうしても,"at any cost, no matter what, no matter how hard one tries",N3
どうぞよろしく,どうぞよろしく,pleased to meet you,N3
到着,とうちゃく,arrival,N3
道徳,どうとく,morals,N3
投票,とうひょう,"voting, poll",N3
東洋,とうよう,Orient,N3
同様,どうよう,"identical, same (kind), like",N3
童謡,どうよう,"children's song, nursery rhyme",N3
同僚,どうりょう,colleague; co-worker,N3
道路,どうろ,road,N3
通す,とおす,"to let pass, to overlook, to continue",N3
通り過ぎる,とおりすぎる,"to pass, to pass through",N3
都会,とかい,city,N3
溶く,とく,to dissolve (paint),N3
解く,とく,"to unfasten; answer, solve",N3
退く,どく,"to retreat, to recede, to withdraw",N3
毒,どく,"poison, toxicant",N3
得意,とくい,"pride, triumph, prosperity",N3
読書,どくしょ,reading,N3
独身,どくしん,"single, unmarried",N3
特徴,とくちょう,characteristic(s); feature(s); trait(s),N3
特長,とくちょう,"forte, merit",N3
独特,どくとく,"peculiarity, uniqueness, characteristic",N3
独立,どくりつ,"independence (e.g., Ind. Day), self-support",N3
溶ける,とける,"to melt, to thaw, to dissolve",N3
解ける,とける,"to come untied, to come apart",N3
どこか,どこか,"somewhere, anywhere",N3
ところが,ところが,"however, while, even if",N3
ところで,ところで,by the way; even if,N3
登山,とざん,mountain-climbing,N3
都市,とし,"town, city, urban",N3
年月,としつき,months and years,N3
図書,としょ,books,N3
年寄,としより,"old people, the aged",N3
閉じる,とじる,"to close (e.g., book, eyes), to shut",N3
途端,とたん,"just (now, at the moment, etc.)",N3
土地,とち,"plot of land, lot, soil",N3
突然,とつぜん,"abruptly, suddenly, unexpectedly",N3
トップ,トップ,top,N3
届く,とどく,to reach,N3
とにかく,とにかく,"anyhow, at any rate, anyway",N3
飛ばす,とばす,"to skip over, to omit",N3
飛び出す,とびだす,"to jump out, to rush out, to fly out",N3
留める,とめる,"to fasten, to turn off, to detain",N3
泊める,とめる,to have someone stay (over night) (v.t.),N3
友,とも,"friend, companion, pal",N3
共に,ともに,"sharing with, participate in",N3
虎,とら,tiger,N3
ドライブ,ドライブ,"drive, driving",N3
トラック,トラック,truck; (running) track,N3
ドラマ,ドラマ,drama,N3
トランプ,トランプ,playing cards (lit: trump),N3
取り上げる,とりあげる,"to take up, to pick up; to confiscate",N3
努力,どりょく,"great effort, exertion, endeavor",N3
トレーニング,トレーニング,training,N3
ドレス,ドレス,dress,N3
取れる,とれる,"to come off, to be taken off",N3
泥,どろ,mud,N3
トン,トン,ton (1000 lbs.),N3
とんでもない,とんでもない,"outrageous, No way!",N3
どんなに,どんなに,"how, how much",N3
トンネル,トンネル,tunnel,N3
名,な,"name, reputation",N3
内容,ないよう,"subject, contents, detail",N3
なお,なお,"still, yet",N3
仲,なか,"relation, relationship",N3
流す,ながす,"to drain, to float, to shed (e.g., blood, tears)",N3
半ば,なかば,"middle, halfway",N3
仲間,なかま,"company, fellow, colleague, associate",N3
中身,なかみ,content(s); substance,N3
中味,なかみ,"contents, interior, filling",N3
眺め,ながめ,scene; view; prospect; outlook,N3
眺める,ながめる,"to view, to gaze at",N3
流れ,ながれ,"stream, current",N3
流れる,ながれる,"to flow, to be washed away",N3
亡くす,なくす,to lose someone,N3
殴る,なぐる,to strike; to hit; to punch,N3
無し,なし,without,N3
なぜなら,なぜなら,because,N3
謎,なぞ,"riddle, puzzle, enigma",N3
納得,なっとく,"consent, assent, understanding",N3
何か,なにか,something,N3
なにも,なにも,nothing,N3
鍋,なべ,"saucepan, pot",N3
生,なま,"raw, unprocessed",N3
怠ける,なまける,"to be idle, to neglect",N3
波,なみ,wave,N3
涙,なみだ,tear,N3
悩む,なやむ,"to agonize, to be troubled",N3
鳴らす,ならす,"to ring, to sound",N3
為る,なる,"to change, to be of use, to reach to",N3
生る,なる,to bear fruit,N3
馴れる,なれる,"to become domesticated, to become tame",N3
縄,なわ,rope,N3
何で,なんで,"Why, What for",N3
何でも,なんでも,"by all means, everything",N3
何とか,なんとか,"somehow, anyhow, one way or another",N3
似合う,にあう,"to suit (a person), to match (clothing), (something) becomes (someone)",N3
煮える,にえる,"to boil, to cook, to be cooked",N3
苦手,にがて,"poor (at), weak (in), dislike (of)",N3
握る,にぎる,"to grasp, to seize, to mold sushi",N3
日,にち,day,N3
日常,にちじょう,"ordinary, regular, everyday",N3
日光,にっこう,sunlight,N3
日中,にっちゅう,"daytime, broad daylight",N3
にっこり,にっこり,"smile sweetly, smile, grin",N3
日本,にっぽん,Japan,N3
日本,にほん,Japan,N3
入場,にゅうじょう,"entrance, admission, entering",N3
煮る,にる,"to boil, to cook",N3
人気,にんき,popularity,N3
人間,にんげん,"human being, person",N3
抜く,ぬく,"to extract, to omit, to unplug",N3
抜ける,ぬける,"to come out, to fall out, to be omitted",N3
布,ぬの,cloth,N3
濡らす,ぬらす,"to wet, to soak",N3
根,ね,root,N3
値,ね,"value, price, cost",N3
願い,ねがい,"desire, wish, request",N3
願う,ねがう,"to desire, to wish, to request",N3
鼠,ねずみ,"mouse, rat",N3
熱帯,ねったい,tropics,N3
熱中,ねっちゅう,"enthusiasm, zeal, mania",N3
年間,ねんかん,year,N3
年月,ねんげつ,months and years,N3
年中,ねんじゅう,"whole year, always, everyday",N3
年代,ねんだい,"age, era, period",N3
年齢,ねんれい,"age, years",N3
野,の,field,N3
能,のう,"being skilled in, nicely, properly",N3
農家,のうか,"farmer, farm family",N3
農業,のうぎょう,agriculture,N3
農民,のうみん,"farmers, peasants",N3
能力,のうりょく,"ability, faculty",N3
ノー,ノー,no,N3
軒,のき,eaves,N3
残す,のこす,"to leave (behind, over), to save, to reserve",N3
残り,のこり,"remaining, left-over",N3
乗せる,のせる,"to place on (something), to take on board",N3
載せる,のせる,to place on (something); to publish,N3
覗く,のぞく,"to peek in, to look in",N3
除く,のぞく,"to remove, to exclude, to except",N3
望み,のぞみ,"wish, desire, (a) hope",N3
望む,のぞむ,"to desire, to wish for; to view",N3
後,のち,"afterwards, since then",N3
ノック,ノック,knock; fungo (baseball),N3
伸ばす,のばす,"to extend, to stretch, to reach out",N3
延ばす,のばす,"to extend, to stretch, to reach out",N3
伸びる,のびる,"to extend, to make progress, to grow",N3
延びる,のびる,to be prolonged,N3
述べる,のべる,"to state, to express, to mention",N3
上る,のぼる,"to ascend, to go up, to climb",N3
昇る,のぼる,"to arise, to ascend, to go up",N3
載る,のる,"to appear (in print), to be recorded",N3
のんびり,のんびり,"carefree, at leisure",N3
場,ば,"place, field (physics)",N3
はあ (かん),はあ (かん),(sigh),N3
パーセント,パーセント,percent,N3
灰,はい,ash,N3
梅雨,ばいう,rainy season,N3
バイオリン,バイオリン,violin,N3
ハイキング,ハイキング,hiking,N3
配達,はいたつ,"delivery, distribution",N3
パイプ,パイプ,pipe; channels official or otherwise,N3
俳優,はいゆう,"actor, actress, performer",N3
パイロット,パイロット,pilot,N3
生える,はえる,"to grow, to spring up; to cut (teeth)",N3
墓,はか,"grave, tomb",N3
馬鹿,ばか,"fool, idiot",N3
博士,はかせ,"doctorate, PhD., doctor",N3
計る,はかる,"to measure, to weigh, to survey",N3
量る,はかる,"to measure, to weigh, to survey",N3
測る,はかる,"to measure, to weigh, to survey",N3
掃く,はく,"to sweep, to brush, to gather up",N3
吐く,はく,"to throw up, to vomit",N3
拍手,はくしゅ,"clapping hands, applause",N3
莫大,ばくだい,"enormous, vast",N3
爆発,ばくはつ,"explosion, detonation, eruption",N3
博物館,はくぶつかん,museum,N3
激しい,はげしい,"violent, vehement, intense",N3
はさみ,はさみ,scissors,N3
破産,はさん,(personal) bankruptcy,N3
端,はし,"end (e.g., of street), edge, margin",N3
始まり,はじまり,"origin, beginning",N3
パス,パス,"path, pass (in games)",N3
外す,はずす,"to unfasten, to remove",N3
パスポート,パスポート,passport,N3
外れる,はずれる,"to be disconnected, to be out (e.g., of gear)",N3
旗,はた,flag,N3
肌,はだ,skin,N3
裸,はだか,"naked, nude",N3
畑,はたけ,"field, patch",N3
働き,はたらき,"work, labor",N3
バッグ,バッグ,bag,N3
発見,はっけん,"discovery, detection, finding",N3
発行,はっこう,issue (publications),N3
発車,はっしゃ,departure of a vehicle,N3
発射,はっしゃ,"firing, shooting, discharge",N3
罰する,ばっする,"to punish, to penalize",N3
発達,はったつ,"development, growth",N3
ばったり,ばったり,(to meet) by chance,N3
発展,はってん,"development, growth, progress",N3
発表,はっぴょう,announcement; publication; presentation,N3
発明,はつめい,invention,N3
派手,はで,"showy, flashy, gaudy",N3
話し合う,はなしあう,"to discuss, to talk together",N3
離す,はなす,"to part, to separate",N3
放す,はなす,"to separate, to set free",N3
離れる,はなれる,"(something, someone) separates; parts from; to be apart",N3
放れる,はなれる,"to leave, to get free, to cut oneself off",N3
羽,はね,wing,N3
羽根,はね,feather,N3
幅,はば,"width, breadth",N3
母親,ははおや,mother,N3
省く,はぶく,"to omit, to eliminate",N3
場面,ばめん,"scene, setting (e.g., of novel)",N3
流行る,はやる,"to be popular, to come into fashion",N3
腹,はら,"abdomen, belly, stomach",N3
原,はら,"field, plain",N3
バランス,バランス,balance,N3
針,はり,"needle, hand (e.g., clock)",N3
範囲,はんい,"extent, scope, range",N3
反抗,はんこう,"opposition, resistance",N3
犯罪,はんざい,crime,N3
ハンサム,ハンサム,handsome,N3
反省,はんせい,"reflection, reconsideration, regret",N3
判断,はんだん,"judgment, decision",N3
犯人,はんにん,"offender, criminal",N3
販売,はんばい,"sale, selling, marketing",N3
灯,ひ,light,N3
ビール,ビール,beer,N3
被害,ひがい,damage,N3
比較,ひかく,comparison,N3
ピクニック,ピクニック,picnic,N3
悲劇,ひげき,tragedy,N3
飛行,ひこう,"aviation, flight",N3
膝,ひざ,"knee, lap",N3
非常,ひじょう,"emergency, extraordinary, unusual",N3
美人,びじん,beautiful person (woman),N3
額,ひたい,"forehead, brow",N3
日付,ひづけ,"date, dating",N3
引越し,ひっこし,"moving, changing residence",N3
必死,ひっし,"desperation, frantic, inevitable result",N3
ぴったり,ぴったり,"exactly, neatly, sharp",N3
引っ張る,ひっぱる,"to pull, to stretch, to drag",N3
否定,ひてい,"negation, denial",N3
ビデオ,ビデオ,video tape; VCR,N3
一言,ひとこと,one word,N3
人込み,ひとごみ,crowd of people,N3
等しい,ひとしい,equal,N3
独り,ひとり,"alone, unmarried",N3
一人一人,ひとりひとり,"one by one, each",N3
批判,ひはん,criticism,N3
批評,ひひょう,"criticism, review, commentary",N3
秘密,ひみつ,"secret, secrecy",N3
微妙,びみょう,"delicate, subtle",N3
紐,ひも,"string, cord",N3
冷やす,ひやす,"to cool, to refrigerate",N3
費用,ひよう,"cost, expense",N3
表,ひょう,"table (e.g., Tab 1), chart, list",N3
秒,びょう,second (60th min),N3
評価,ひょうか,"assessment, evaluation",N3
表現,ひょうげん,"expression, presentation",N3
表情,ひょうじょう,facial expression,N3
平等,びょうどう,"equality, impartiality, evenness",N3
評判,ひょうばん,"fame, reputation",N3
表面,ひょうめん,"surface, outside, face",N3
広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around",N3
広げる,ひろげる,"to spread, to extend, to expand, to enlarge",N3
広める,ひろめる,"to broaden, to propagate",N3
品,ひん,"goods; taste, elegance",N3
瓶,びん,bottle,N3
便,びん,"way, means; flight",N3
ピン,ピン,pin,N3
不,ふ,"un(~), non(~), negative prefix",N3
不,ぶ,"un(~), non(~), negative prefix",N3
無,ぶ,"nothing, naught, nil, zero",N3
分,ぶ,"dividing, part",N3
不安,ふあん,"anxiety, uneasiness",N3
風景,ふうけい,scenery,N3
夫婦,ふうふ,"married couple, husband and wife",N3
笛,ふえ,"flute, whistle",N3
不可,ふか,"wrong, bad, impossible",N3
深まる,ふかまる,to deepen,N3
武器,ぶき,"weapon, arms",N3
拭く,ふく,"to wipe, to dry",N3
服装,ふくそう,"clothes, attire",N3
含む,ふくむ,"to contain, to include",N3
含める,ふくめる,to include,N3
袋,ふくろ,"bag, sack",N3
不幸,ふこう,"unhappiness, sorrow, misfortune",N3
節,ふし,"tune, tone, knob",N3
無事,ぶじ,"safety, peace",N3
不思議,ふしぎ,"mystery, curiosity",N3
不自由,ふじゆう,"discomfort, disability, inconvenience",N3
夫人,ふじん,"wife, Mrs, madam",N3
婦人,ふじん,woman (same as 女性 (じょせい)、女の人 (おんなのひと)),N3
不正,ふせい,"injustice, unfairness",N3
防ぐ,ふせぐ,"to defend (against), to protect, to prevent",N3
不足,ふそく,"insufficiency, shortage",N3
舞台,ぶたい,stage (theater),N3
双子,ふたご,"twins, a twin",N3
再び,ふたたび,"again, once more, a second time",N3
普段,ふだん,"in everyday situations, usually, ordinarily",N3
縁,ふち,"edge, rim",N3
打つ,ぶつ,"to hit, to strike",N3
不通,ふつう,"blockade, interruption, stoppage",N3
物価,ぶっか,(commodity/consumer) prices,N3
ぶつかる,ぶつかる,"to strike, to collide with",N3
ぶつける,ぶつける,"to knock, to strike hard, to hit and attack",N3
物質,ぶっしつ,"material, substance",N3
物理,ぶつり,physics,N3
筆,ふで,writing brush,N3
ふと,ふと,"suddenly, accidentally, incidentally",N3
部分,ぶぶん,"portion, section, part",N3
不平,ふへい,"complaint, discontent, dissatisfaction",N3
不満,ふまん,"dissatisfaction, discontent, complaints",N3
増やす,ふやす,"to increase (v.t.), to add to",N3
殖やす,ふやす,"to increase, to add to",N3
プラス,プラス,plus,N3
プラスチック,プラスチック,plastic,N3
プラン,プラン,plan,N3
不利,ふり,"disadvantage, drawback",N3
振る,ふる,"to wave, to shake; to sprinkle; to cast (actor)",N3
震える,ふるえる,"to shiver, to shake, to quake",N3
ブレーキ,ブレーキ,a brake,N3
触れる,ふれる,"to touch, to feel, to violate",N3
プロ,プロ,professional,N3
分,ぶん,"dividing, part, segment",N3
文,ぶん,sentence,N3
雰囲気,ふんいき,"atmosphere (e.g., musical), mood, ambiance",N3
分析,ぶんせき,analysis,N3
文明,ぶんめい,civilization,N3
分野,ぶんや,"field, sphere",N3
塀,へい,"wall, fence",N3
平均,へいきん,"equilibrium, balance, average",N3
平和,へいわ,peace,N3
別に,べつに,"(not) particularly, nothing",N3
減らす,へらす,"to decrease, to diminish",N3
減る,へる,"to decrease (in size or number), to diminish",N3
ベルト,ベルト,Belt for western clothes,N3
変化,へんか,"change, variation, shift",N3
ペンキ,ペンキ,paint,N3
変更,へんこう,"change, modification, alteration",N3
ベンチ,ベンチ,bench,N3
弁当,べんとう,box lunch,N3
方,ほう,side,N3
法,ほう,Act (law: the X Act),N3
棒,ぼう,"pole, rod, stick",N3
冒険,ぼうけん,"risk, venture, adventure",N3
方向,ほうこう,"direction, course, way",N3
報告,ほうこく,"report, information",N3
宝石,ほうせき,"gem, jewel",N3
包装,ほうそう,"packing, wrapping",N3
豊富,ほうふ,"abundance, plenty",N3
方法,ほうほう,"method, means, technique",N3
方々,ほうぼう,"here and there, everywhere",N3
訪問,ほうもん,"call, visit",N3
吠える,ほえる,"to bark, to howl",N3
ボーイ,ボーイ,porter; boy,N3
ボート,ボート,rowing boat,N3
ホーム,ホーム,platform; home,N3
ボール,ボール,ball; bowl,N3
他,ほか,other (esp. places and things),N3
誇り,ほこり,pride,N3
埃,ほこり,dust,N3
保証,ほしょう,"guarantee, assurance, warranty",N3
保存,ほぞん,"preservation, conservation",N3
歩道,ほどう,walkway,N3
仏,ほとけ,Buddha,N3
骨,ほね,bone,N3
炎,ほのお,flame,N3
頬,ほほ,cheek (of face),N3
頬,ほお,cheek (of face),N3
ほぼ,ほぼ,"almost, roughly",N3
微笑む,ほほえむ,to smile,N3
堀,ほり,"moat, canal",N3
濠,ほり,moat,N3
本当,ほんと,"truth, reality",N3
本人,ほんにん,the person himself,N3
本物,ほんもの,genuine article,N3
ぼんやり,ぼんやり,"dim, faint, vague",N3
間,ま,"space, room, pause",N3
まあ,まあ,well (used when making a modest or hesitant statement),N3
マーケット,マーケット,market,N3
マイク,マイク,mic,N3
迷子,まいご,lost (stray) child,N3
マイナス,マイナス,minus,N3
任せる,まかせる,"to entrust to another, to leave to",N3
巻く,まく,"to wind, to coil, to roll",N3
蒔く,まく,to sow (seeds),N3
撒く,まく,"to scatter, to sprinkle, to sow",N3
幕,まく,"curtain, act (in play)",N3
負け,まけ,"defeat, loss",N3
孫,まご,grandchild,N3
まさか,まさか,by no means,N3
まさに,まさに,"correctly, surely",N3
混ざる,まざる,"to be mixed, to mingle with",N3
交ざる,まざる,"to be mixed, to mingle with",N3
混じる,まじる,"to be mixed, to mingle with",N3
交じる,まじる,"to be mixed, to mingle with",N3
増す,ます,"to increase, to gain",N3
貧しい,まずしい,"poor, needy",N3
マスター,マスター,"bar owner, master (e.g., arts, science)",N3
ますます,ますます,"increasingly (same as もっと), more and more",N3
混ぜる,まぜる,"to mix, to stir",N3
交ぜる,まぜる,"to be mixed, to be blended with",N3
街,まち,"town; street, road",N3
間違い,まちがい,mistake,N3
松,まつ,pine tree,N3
真っ赤,まっか,"deep red, flushed (of face)",N3
全く,まったく,"really, completely",N3
祭,まつり,"festival, feast",N3
まとまる,まとまる,"to be collected, to be settled, to be in order",N3
まとめる,まとめる,"to put in order, to collect, to bring to a conclusion",N3
学ぶ,まなぶ,to learn; to study,N3
真似,まね,"mimicry, imitation, behavior",N3
招く,まねく,to invite,N3
まぶしい,まぶしい,"dazzling, radiant",N3
柵,さく,"fence, paling",N3
裂ける,さける,"to split, to tear, to burst",N3
裁く,さばく,to judge,N3
酸化,さんか,oxidation,N3
死,し,"death, decease",N3
資格,しかく,"qualifications, requirements, capabilities",N3
視覚,しかく,"sense of sight, vision",N3
指揮,しき,"command, direction",N3
磁気,じき,magnetism,N3
磁器,じき,"porcelain, china",N3
自己,じこ,"self, oneself",N3
字体,じたい,"font, lettering",N3
辞退,じたい,refusal,N3
視点,してん,"opinion, point of view, visual point",N3
脂肪,しぼう,"fat, grease",N3
志望,しぼう,"wish, desire, ambition",N3
衆,しゅう,"masses, people",N3
住,じゅう,"dwelling, living",N3
修飾,しゅうしょく,ornamentation; modification (gram),N3
私用,しよう,"personal use, private business",N3
仕様,しよう,"way, method, specification",N3
情,じょう,"feelings, emotion, passion",N3
生涯,しょうがい,one's lifetime,N3
上司,じょうし,one's superior,N3
正体,しょうたい,"natural shape, one's true colors, true character",N3
照明,しょうめい,illumination,N3
女史,じょし,Ms.,N3
助詞,じょし,"(gram) particle(s), postposition",N3
ショック,ショック,shock,N3
進行,しんこう,advance,N3
新興,しんこう,"rising, developing, emergent",N3
振興,しんこう,"promotion, encouragement",N3
申告,しんこく,"report, statement",N3
真理,しんり,truth,N3
水洗,すいせん,flushing,N3
ストレス,ストレス,stress,N3
擦る,する,"to rub, to chafe",N3
正規,せいき,"regular, legitimate",N3
精巧,せいこう,"elaborate, delicate, exquisite",N3
精算,せいさん,"exact calculation, adjustment",N3
成年,せいねん,"majority, adult age",N3
声明,せいめい,"declaration, statement, proclamation",N3
姓名,せいめい,full name,N3
生理,せいり,"physiology, menses",N3
節,せつ,"when, if; section; clause",N3
膳,ぜん,"(small) table, tray, meal",N3
禅,ぜん,Zen (Buddhism),N3
選挙,せんきょ,election,N3
先行,せんこう,"preceding, going first",N3
選考,せんこう,"selection, screening",N3
相,そう,"aspect, phase, countenance",N3
沿う,そう,"to run along, to follow",N3
添う,そう,"to accompany, to comply with",N3
僧,そう,"monk, priest",N3
像,ぞう,"statue, image",N3
捜査,そうさ,"search (esp. in criminal investigations, investigation)",N3
操縦,そうじゅう,"management, control, manipulation",N3
創造,そうぞう,creation,N3
隊,たい,"party, troops",N3
退学,たいがく,dropping out of school,N3
タイトル,タイトル,title,N3
ダウン,ダウン,down,N3
高まる,たかまる,to rise; to grow; to mount (v.i.),N3
断つ,たつ,"to sever, to cut off",N3
盾,たて,shield,N3
例え,たとえ,example; even though,N3
チャイム,チャイム,chime,N3
挑戦,ちょうせん,"challenge, defiance",N3
治療,ちりょう,medical treatment,N3
